2025-05-22 04:10:40,920 - Episode 107 | Reward: 1.0 | Steps: 2 | Distance: 0.0
2025-05-22 04:10:40,959 - Episode 108 | Reward: 1.0 | Steps: 244 | Distance: 0.0
2025-05-22 04:10:40,997 - Episode 109 | Reward: 1.0 | Steps: 191 | Distance: 0.0
2025-05-22 04:10:41,013 - Episode 110 | Reward: 1.0 | Steps: 203 | Distance: 0.0
2025-05-22 04:10:41,017 - Episode 111 | Reward: 1.0 | Steps: 25 | Distance: 0.0
2025-05-22 04:10:41,066 - Episode 112 | Reward: 1.0 | Steps: 610 | Distance: 0.0
2025-05-22 04:10:41,085 - Episode 113 | Reward: 1.0 | Steps: 129 | Distance: 0.0
2025-05-22 04:10:41,104 - Episode 114 | Reward: 1.0 | Steps: 9 | Distance: 0.0
2025-05-22 04:10:41,113 - Episode 115 | Reward: 1.0 | Steps: 57 | Distance: 0.0
2025-05-22 04:10:41,119 - Episode 116 | Reward: 1.0 | Steps: 30 | Distance: 0.0
2025-05-22 04:10:41,128 - Episode 117 | Reward: 1.0 | Steps: 85 | Distance: 0.0
2025-05-22 04:10:41,162 - Episode 118 | Reward: 1.0 | Steps: 18 | Distance: 0.0
2025-05-22 04:10:41,204 - Episode 119 | Reward: 1.0 | Steps: 349 | Distance: 0.0
2025-05-22 04:10:41,209 - Episode 120 | Reward: 1.0 | Steps: 43 | Distance: 0.0
2025-05-22 04:10:41,222 - Episode 121 | Reward: 1.0 | Steps: 129 | Distance: 0.0
2025-05-22 04:10:41,231 - Episode 122 | Reward: 1.0 | Steps: 82 | Distance: 0.0
2025-05-22 04:10:41,258 - Episode 123 | Reward: 1.0 | Steps: 213 | Distance: 0.0
2025-05-22 04:10:41,282 - Episode 124 | Reward: 1.0 | Steps: 300 | Distance: 0.0
2025-05-22 04:10:41,311 - Episode 125 | Reward: 1.0 | Steps: 363 | Distance: 0.0
2025-05-22 04:10:41,316 - Episode 126 | Reward: 1.0 | Steps: 47 | Distance: 0.0
2025-05-22 04:10:41,336 - Episode 127 | Reward: 1.0 | Steps: 174 | Distance: 0.0
2025-05-22 04:10:41,344 - Episode 128 | Reward: 1.0 | Steps: 103 | Distance: 0.0
2025-05-22 04:10:41,359 - Episode 129 | Reward: 1.0 | Steps: 132 | Distance: 0.0
