env,algo,run_dir,T_to_target,success,seed,total_timesteps,n_envs,hyperparams_json
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_192212_968440_pid3206323_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 512, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_120008_912679_pid3769293_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_071557_469298_pid3299775_seed0,2580000,True,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 128, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_015048_560930_pid3656460_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.97, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_012041_423613_pid3044196_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 128, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_231329_486947_pid3234414_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_225022_310564_pid3231617_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251112_082350_123405_pid16474_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 1024, ""gamma"": 0.995, ""gae_lambda"": 0.97, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_021500_351456_pid3262440_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_184725_782409_pid3202098_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 512, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
