env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_180219_273298_pid982499_seed0,0,500.0,449.4340002441406,-50.56599975585942,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-6.513333468967011,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180219_284787_pid982498_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180219_338920_pid982495_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180526_705900_pid983247_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180528_944678_pid983253_seed0,0,404.2799987792969,256.67200164794923,-147.60799713134764,-31.02000122070315,-20.213999938964847,4.042799987792969,post_peak_degradation,379.61199707031244,203.13999938964844,-176.471997680664,-27.06444430881076,-37.96119970703125,7.592239941406249,post_peak_degradation
CartPole-v1,a2c,20251026_180530_670514_pid983261_seed0,0,404.2799987792969,256.67200164794923,-147.60799713134764,-31.02000122070315,-20.213999938964847,4.042799987792969,post_peak_degradation,379.61199707031244,203.13999938964844,-176.471997680664,-27.06444430881076,-37.96119970703125,7.592239941406249,post_peak_degradation
CartPole-v1,a2c,20251026_180533_587919_pid983269_seed0,0,500.0,369.96199890136717,-130.03800109863283,-100.0,-25.0,5.0,post_peak_degradation,470.59999999999997,500.0,29.400000000000034,-3.7311109754774257,-47.06,9.411999999999999,converged_relaxed
CartPole-v1,a2c,20251026_180533_887991_pid983270_seed0,0,377.6599975585938,315.98399993896487,-61.6759976196289,-37.93999938964845,-18.882999877929688,3.776599975585938,post_peak_degradation,374.4259967041016,322.79998779296875,-51.62600891113283,-17.002221679687498,-37.44259967041016,7.488519934082031,post_peak_degradation
CartPole-v1,a2c,20251026_180534_402797_pid983275_seed0,0,487.3399963378906,226.4659991455078,-260.87399719238283,-28.32000122070312,-24.366999816894534,4.8733999633789065,post_peak_degradation,487.3399963378906,180.25997924804688,-307.08001708984375,-34.457777913411455,-48.73399963378907,9.746799926757813,post_peak_degradation
CartPole-v1,a2c,20251026_180536_323341_pid983279_seed0,0,487.3399963378906,226.4659991455078,-260.87399719238283,-28.32000122070312,-24.366999816894534,4.8733999633789065,post_peak_degradation,487.3399963378906,180.25997924804688,-307.08001708984375,-34.457777913411455,-48.73399963378907,9.746799926757813,post_peak_degradation
CartPole-v1,a2c,20251026_180536_858051_pid983284_seed0,0,447.76000061035154,401.18800155639644,-46.571999053955096,-70.64000244140624,-22.388000030517578,4.477600006103516,post_peak_degradation,447.76000061035154,393.7200012207031,-54.039999389648415,-16.417777845594614,-44.776000061035155,8.955200012207031,post_peak_degradation
CartPole-v1,a2c,20251026_180837_560782_pid983952_seed0,0,500.0,396.6980012512207,-103.30199874877928,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-13.804444715711806,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180840_854277_pid983957_seed0,0,500.0,425.8580010986328,-74.14199890136717,-100.0,-25.0,5.0,post_peak_degradation,482.24800170898436,500.0,17.75199829101564,-11.488888888888887,-48.22480017089844,9.644960034179688,uncertain
CartPole-v1,a2c,20251026_180844_490683_pid983970_seed0,0,500.0,468.96399963378906,-31.036000366210942,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-21.38444417317708,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180844_951587_pid983974_seed0,0,500.0,464.0,-36.0,-88.0,-25.0,5.0,post_peak_degradation,500.0,488.0,-12.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180846_107472_pid983976_seed0,0,500.0,382.7799993896484,-117.22000061035158,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,2.9888890584309897,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180847_732617_pid983980_seed0,0,500.0,464.0,-36.0,-88.0,-25.0,5.0,post_peak_degradation,500.0,488.0,-12.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_180850_056466_pid983994_seed0,0,500.0,382.7799993896484,-117.22000061035158,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,2.9888890584309897,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_180853_283374_pid984007_seed0,0,500.0,370.2079992675781,-129.7920007324219,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-3.266666327582464,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_181156_745249_pid984747_seed0,0,500.0,468.6559997558594,-31.344000244140602,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-21.475555419921875,-50.0,10.0,uncertain
