env,algo,run_id,seed,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_eps_relaxed,slope_eps_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_182746_258941_pid988677_seed0,0,492.9599975585937,484.82000732421875,-8.139990234374977,-21.62666625976562,-49.29599975585938,9.859199951171874,uncertain
CartPole-v1,a2c,20251026_182747_208180_pid988682_seed0,0,493.28,466.97998046875,-26.300019531249973,-17.31555548773872,-49.328,9.865599999999999,uncertain
CartPole-v1,a2c,20251026_182801_794898_pid988792_seed0,0,492.9599975585937,484.82000732421875,-8.139990234374977,-21.62666625976562,-49.29599975585938,9.859199951171874,uncertain
CartPole-v1,a2c,20251026_182802_617164_pid988797_seed0,0,493.28,466.97998046875,-26.300019531249973,-17.31555548773872,-49.328,9.865599999999999,uncertain
CartPole-v1,a2c,20251026_182806_537026_pid988831_seed0,0,500.0,495.46002197265625,-4.53997802734375,-19.17555541992188,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183045_683525_pid989630_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183045_864668_pid989635_seed0,0,500.0,500.0,0.0,-7.18666653103299,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_183050_816404_pid989650_seed0,0,500.0,500.0,0.0,-14.155555555555553,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183053_686767_pid989657_seed0,0,500.0,500.0,0.0,-12.997777642144095,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183058_789722_pid989676_seed0,0,500.0,500.0,0.0,-15.791111246744789,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183106_164980_pid989696_seed0,0,500.0,500.0,0.0,-12.997777642144095,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183112_124787_pid989714_seed0,0,500.0,500.0,0.0,-15.791111246744789,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183112_561645_pid989715_seed0,0,495.32400085449217,500.0,4.675999145507831,-21.480000135633684,-49.53240008544922,9.906480017089844,uncertain
CartPole-v1,a2c,20251026_183352_009116_pid990057_seed0,0,500.0,367.3800048828125,-132.6199951171875,-36.95777774386936,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_183354_601552_pid990071_seed0,0,358.2999984741211,354.6400146484375,-3.6599838256835824,-6.728889126247828,-35.82999984741211,7.165999969482422,converged_relaxed
CartPole-v1,a2c,20251026_183356_889583_pid990083_seed0,0,500.0,480.3999938964844,-19.600006103515625,-17.2933336046007,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183359_624254_pid990092_seed0,0,496.74199829101565,499.5,2.7580017089843523,-7.602222018771702,-49.67419982910157,9.934839965820313,converged_relaxed
CartPole-v1,a2c,20251026_183407_899207_pid990115_seed0,0,500.0,500.0,0.0,-16.72666625976563,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183410_675339_pid990123_seed0,0,496.74199829101565,499.5,2.7580017089843523,-7.602222018771702,-49.67419982910157,9.934839965820313,converged_relaxed
CartPole-v1,a2c,20251026_183417_079424_pid990144_seed0,0,500.0,500.0,0.0,-16.72666625976563,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183421_022564_pid990157_seed0,0,500.0,318.70001220703125,-181.29998779296875,-28.579999796549473,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_183652_395392_pid990498_seed0,0,500.0,353.9599914550781,-146.04000854492188,-29.306666734483503,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_183700_890817_pid990519_seed0,0,492.4959991455078,324.6000061035156,-167.8959930419922,-31.38888905843099,-49.249599914550785,9.849919982910157,post_peak_degradation
CartPole-v1,a2c,20251026_183701_299802_pid990521_seed0,0,481.04400085449214,500.0,18.95599914550786,-0.8444437662760467,-48.104400085449214,9.620880017089844,converged_relaxed
CartPole-v1,a2c,20251026_183701_966272_pid990525_seed0,0,500.0,500.0,0.0,-1.8755554199218776,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_183715_132901_pid990562_seed0,0,498.0819982910156,500.0,1.9180017089843773,-14.624444580078123,-49.80819982910157,9.961639965820313,uncertain
CartPole-v1,a2c,20251026_183717_071594_pid990570_seed0,0,500.0,500.0,0.0,-1.8755554199218776,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_183721_413778_pid990585_seed0,0,498.0819982910156,500.0,1.9180017089843773,-14.624444580078123,-49.80819982910157,9.961639965820313,uncertain
CartPole-v1,a2c,20251026_183729_488958_pid990604_seed0,0,500.0,497.52001953125,-2.47998046875,-22.497777642144097,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_183958_696990_pid990962_seed0,0,500.0,500.0,0.0,-10.362222629123266,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184002_736623_pid990974_seed0,0,494.7799987792969,392.0,-102.77999877929688,-31.791110229492183,-49.47799987792969,9.895599975585938,post_peak_degradation
CartPole-v1,a2c,20251026_184003_886272_pid990975_seed0,0,495.4080017089844,500.0,4.591998291015614,-20.94222276475694,-49.54080017089844,9.908160034179687,uncertain
CartPole-v1,a2c,20251026_184005_644481_pid990980_seed0,0,500.0,359.08001708984375,-140.91998291015625,-31.060000271267356,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_184020_822048_pid991026_seed0,0,500.0,500.0,0.0,-21.395555284288193,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184026_038245_pid991038_seed0,0,500.0,359.08001708984375,-140.91998291015625,-31.060000271267356,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_184028_276550_pid991044_seed0,0,500.0,500.0,0.0,-21.395555284288193,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184033_353691_pid991063_seed0,0,500.0,496.82000732421875,-3.17999267578125,-8.706666734483507,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_184304_795103_pid991419_seed0,0,500.0,500.0,0.0,-14.35333319769965,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184305_752695_pid991421_seed0,0,500.0,500.0,0.0,-17.2022223578559,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184305_754167_pid991420_seed0,0,500.0,500.0,0.0,-20.939999728732637,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184312_757019_pid991448_seed0,0,500.0,428.3399963378906,-71.66000366210938,-26.697778320312498,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_184329_428857_pid991486_seed0,0,500.0,500.0,0.0,-16.620000542534726,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184332_700548_pid991497_seed0,0,500.0,428.3399963378906,-71.66000366210938,-26.697778320312498,-50.0,10.0,post_peak_degradation
CartPole-v1,a2c,20251026_184339_684638_pid991516_seed0,0,500.0,500.0,0.0,-16.620000542534726,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_184339_702809_pid991517_seed0,0,420.0999963378906,195.1400146484375,-224.95998168945312,-18.231111145019533,-42.009999633789064,8.401999926757812,post_peak_degradation
CartPole-v1,a2c,20251026_184614_142508_pid991867_seed0,0,496.46799926757814,453.239990234375,-43.228009033203136,-21.67777777777778,-49.646799926757815,9.929359985351564,uncertain
CartPole-v1,a2c,20251026_184614_562729_pid991869_seed0,0,441.13000244140625,431.44000244140625,-9.689999999999998,-10.87333374023438,-44.11300024414063,8.822600048828125,uncertain
