env,algo,run_dir,n_episodes,sigma_intra_full,sigma_intra_late,learning_rate,ent_coef,n_steps
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182128_807321_pid987358_seed0,801,175.41114807128906,87.40806579589844,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182130_020111_pid987369_seed0,1020,175.96319580078125,116.52308654785156,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182132_338414_pid987405_seed0,892,180.68287658691406,99.19161987304688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182134_511418_pid987424_seed0,1193,174.98977661132812,125.72868347167969,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182138_337535_pid987439_seed0,1056,190.216552734375,166.00538635253906,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182146_230853_pid987489_seed0,1193,174.98977661132812,125.72868347167969,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182147_794738_pid987510_seed0,1056,190.216552734375,166.00538635253906,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182152_531264_pid987528_seed0,1035,157.1685333251953,141.92013549804688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182435_461414_pid987959_seed0,915,173.72242736816406,157.58566284179688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182437_330992_pid987964_seed0,1436,129.3669891357422,137.31710815429688,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182439_650731_pid987972_seed0,1196,145.55609130859375,99.28425598144531,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182441_589227_pid987980_seed0,989,211.172607421875,32.51490783691406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182444_351774_pid987988_seed0,1110,168.72576904296875,147.28428649902344,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182453_434418_pid988027_seed0,989,211.172607421875,32.51490783691406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182456_688327_pid988050_seed0,1110,168.72576904296875,147.28428649902344,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182459_386878_pid988060_seed0,873,173.89552307128906,141.30178833007812,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182734_328849_pid988591_seed0,809,166.10025024414062,134.88882446289062,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182742_066315_pid988646_seed0,1061,179.97967529296875,169.09071350097656,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182744_082204_pid988651_seed0,813,183.9288787841797,72.66624450683594,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182746_258941_pid988677_seed0,1009,192.94720458984375,79.56777954101562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182747_208180_pid988682_seed0,981,193.51609802246094,139.73574829101562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182801_794898_pid988792_seed0,1009,192.94720458984375,79.56777954101562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182802_617164_pid988797_seed0,981,193.51609802246094,139.73574829101562,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_182806_537026_pid988831_seed0,893,175.2603759765625,105.118896484375,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183045_683525_pid989630_seed0,899,178.759765625,176.3224334716797,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183045_864668_pid989635_seed0,1107,173.39845275878906,132.9450225830078,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183050_816404_pid989650_seed0,875,178.42543029785156,114.23982238769531,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183053_686767_pid989657_seed0,1063,187.90733337402344,111.85624694824219,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183058_789722_pid989676_seed0,922,197.57815551757812,110.69925689697266,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_183106_164980_pid989696_seed0,1063,187.90733337402344,111.85624694824219,,,
