R_max,t_peak,R_end,delta_post,s_final,sigma_final,n_eval,env,algo,run_id,regime
1236.621142578125,1260000.0,828.2176135253907,-408.40352905273437,-0.04634573800223052,37.574084271410236,150,Hopper-v4,a2c,20251108_072134_903575_pid3098618_seed0,post_peak_degrade
296.23557739257814,2680000.0,279.67843139648437,-16.557145996093766,0.12416294642857142,6.192836358106458,150,Hopper-v4,a2c,20251108_225221_063527_pid3231871_seed0,plateau
698.356591796875,2840000.0,603.0286511230469,-95.32794067382815,13.293441118512836,84.04961142239173,150,Hopper-v4,a2c,20251108_110242_488254_pid3137108_seed0,plateau
176.26463623046874,2500000.0,169.74341003417967,-6.521226196289064,0.09681200299944237,0.3907983477573239,150,Hopper-v4,a2c,20251111_073930_869061_pid3947190_seed0,plateau
1018.9126342773437,2940000.0,914.4130578613282,-104.49957641601554,10.23152640206473,91.16904344325371,150,Hopper-v4,a2c,20251108_062428_877033_pid3089420_seed0,plateau
192.54816589355468,2660000.0,188.97345764160156,-3.574708251953126,-0.06670488630022321,1.681558948874859,150,Hopper-v4,a2c,20251110_134032_397101_pid3785038_seed0,plateau
1698.9461669921875,2980000.0,1598.3667456054686,-100.57942138671888,26.912208775111594,178.5632268523932,150,Hopper-v4,a2c,20251108_075702_165193_pid3103945_seed0,plateau
1453.5309936523438,2620000.0,1054.1151818847657,-399.41581176757813,-5.0510149274553635,106.72196770498441,150,Hopper-v4,a2c,20251108_124830_595912_pid3154033_seed0,post_peak_degrade
452.62880859375,2880000.0,419.9562390136718,-32.67256958007823,-0.28058864048549026,30.223479450350876,150,Hopper-v4,a2c,20251108_194458_439110_pid3209073_seed0,plateau
730.7490478515625,2000000.0,324.9026190185547,-405.84642883300785,3.4842001778738854,15.745810503602865,150,Hopper-v4,a2c,20251108_084833_134268_pid3114718_seed0,post_peak_degrade
275.4487548828125,2720000.0,266.667275390625,-8.781479492187543,-0.6520302908761185,3.912475162140097,150,Hopper-v4,a2c,20251111_080012_088337_pid3949780_seed0,plateau
186.16451416015624,3000000.0,184.80705108642576,-1.3574630737304858,0.2711148943219866,0.9945232803309774,150,Hopper-v4,a2c,20251110_193331_848069_pid3843293_seed0,plateau
413.09801025390624,2300000.0,369.09356811523446,-44.00444213867178,4.029541451590404,29.424294283797348,150,Hopper-v4,a2c,20251108_170429_880727_pid3189531_seed0,plateau
1299.4222412109375,2980000.0,1097.6497338867189,-201.77250732421862,32.752001081194194,202.29698531813813,150,Hopper-v4,a2c,20251108_221641_645564_pid3227527_seed0,plateau
300.17021484375,3000000.0,283.7250122070312,-16.44520263671876,2.695814950125558,9.626581051991023,150,Hopper-v4,a2c,20251110_102633_171490_pid3753573_seed0,plateau
